league,game_id,date,time,home_id,home_name,away_id,away_name,venue_name,city,state,full_address,lat,lon
mlb,mlb_152753,2024-02-22,20:10,230,San Diego Padres,218,Los Angeles Dodgers,Petco Park,San Diego,California,"100 Park Boulevard, San Diego, CA 92101",32.70718815,-117.15687730689476
mlb,mlb_152754,2024-02-23,20:05,206,Chicago Cubs,207,Chicago White Sox,Wrigley Field,Chicago,Illinois,"1060 West Addison, Chicago, IL 60613-4397",41.9475677,-87.6565232
mlb,mlb_152755,2024-02-23,20:08,218,Los Angeles Dodgers,230,San Diego Padres,Dodger Stadium,Los Angeles,California,"1000 Vin Scully Avenue, Los Angeles, CA 90012",34.072355,-118.248102
mlb,mlb_152756,2024-02-23,20:05,235,Texas Rangers,216,Kansas City Royals,Globe Life Field,Arlington,Texas,"734 Stadium Drive, Arlington, TX 76011",32.74578136732075,-97.08250044736877
mlb,mlb_152757,2024-02-23,20:10,210,Colorado Rockies,202,Arizona Diamondbacks,Coors Field,Denver,Colorado,"2001 Blake Street, Denver, CO 80205-2000",39.7562199,-104.9930702
mlb,mlb_152758,2024-02-24,18:05,222,Minnesota Twins,228,Pittsburgh Pirates,Target Field,Minneapolis,Minnesota,"1 Twins Way, Minneapolis, MN 55403",44.98168445,-93.27786434576453
mlb,mlb_152759,2024-02-24,18:05,233,St.Louis Cardinals,219,Miami Marlins,Busch Stadium,St. Louis,Missouri,"700 Clark Street, St. Louis, MO 63102",38.793256,-90.323805
mlb,mlb_152760,2024-02-24,18:07,236,Toronto Blue Jays,227,Philadelphia Phillies,Rogers Centre,Toronto,Ontario,"1 Blue Jays Way, Suite 3200, Toronto, Ontario, Canada M5V1J1",43.6424344,-79.389677
mlb,mlb_152761,2024-02-24,18:10,224,New York Mets,233,St.Louis Cardinals,Citi Field,Queens,New York,"41 Seaver Way, Flushing, NY 11368",40.757277849999994,-73.84587884942417
mlb,mlb_152762,2024-02-24,20:05,231,San Francisco Giants,206,Chicago Cubs,Oracle Park,San Francisco,California,"24 Willie Mays Plaza, San Francisco, CA 94107",37.7786119,-122.39026745425639
mlb,mlb_152763,2024-02-24,20:05,216,Kansas City Royals,235,Texas Rangers,Kauffman Stadium,Kansas City,Missouri,"One Royal Way, Kansas City, MO 64129",39.048045,-94.478716
